Fach 1;Lfd. Nr.;Fach 1;Fach 2;Datum / Uhrzeit;Kollisionen;Abstand
BB-241-602411020-Mechanik I;;;;03 14:00-15:30;;;
;1;BB-241-602411020-Mechanik I;BB-241-602411010-Mathematik I;28 8:30-10:00;84;148
;2;BB-241-602411020-Mechanik I;BB-241-602411011-Mathematik I;Kein Datum gef;3;
;3;BB-241-602411020-Mechanik I;BB-241-602411030-Baustoffkunde I und Bauchemie;30 11:30-13:00;89;097
;4;BB-241-602411020-Mechanik I;BB-241-602411050-Vermessungskunde;04 17:15-18:15;85;025
;5;BB-241-602411020-Mechanik I;BB-241-602411060-Bauphysik;06 14:00-15:30;87;070
;6;BB-241-602411020-Mechanik I;BB-241-602411070-Wirtschaft und Management;01 11:00-13:00;84;049
;7;BB-241-602411020-Mechanik I;BB-241-602412010-Mathematik II;27 8:30-10:30;11;171
;8;BB-241-602411020-Mechanik I;BB-241-602412016-Mathematik II;Kein Datum gef;1;
;9;BB-241-602411020-Mechanik I;BB-241-602412020-Mechanik II;03 15:45-17:15;11;000
;10;BB-241-602411020-Mechanik I;BB-241-602412030-Baustoffkunde II;31 14:00-15:30;12;070
;11;BB-241-602411020-Mechanik I;BB-241-602412040-Geotechnik I;05 11:00-12:30;10;043
;12;BB-241-602411020-Mechanik I;BB-241-602412060-Recht und Management;29 11:00-13:00;9;121
BB-241-602411021-Mechanik I;;;;Kein Datum gef;;
;1;BB-241-602411021-Mechanik I;BB-241-602411010-Mathematik I;28 8:30-10:00;1;
;2;BB-241-602411021-Mechanik I;BB-241-602411050-Vermessungskunde;04 17:15-18:15;1;
;3;BB-241-602411021-Mechanik I;BB-241-602411060-Bauphysik;06 14:00-15:30;1;
;4;BB-241-602411021-Mechanik I;BB-241-602411070-Wirtschaft und Management;01 11:00-13:00;1;
;5;BB-241-602411021-Mechanik I;BB-241-602412030-Baustoffkunde II;31 14:00-15:30;1;
BB-241-602411030-Baustoffkunde I und Bauchemie;;;;30 11:30-13:00;;;
;1;BB-241-602411030-Baustoffkunde I und Bauchemie;BB-241-602411010-Mathematik I;28 8:30-10:00;95;049
;2;BB-241-602411030-Baustoffkunde I und Bauchemie;BB-241-602411011-Mathematik I;Kein Datum gef;3;
;3;BB-241-602411030-Baustoffkunde I und Bauchemie;BB-241-602411020-Mechanik I;03 14:00-15:30;89;097
;4;BB-241-602411030-Baustoffkunde I und Bauchemie;BB-241-602411050-Vermessungskunde;04 17:15-18:15;95;124
;5;BB-241-602411030-Baustoffkunde I und Bauchemie;BB-241-602411060-Bauphysik;06 14:00-15:30;95;169
;6;BB-241-602411030-Baustoffkunde I und Bauchemie;BB-241-602411070-Wirtschaft und Management;01 11:00-13:00;93;046
;7;BB-241-602411030-Baustoffkunde I und Bauchemie;BB-241-602412010-Mathematik II;27 8:30-10:30;12;073
;8;BB-241-602411030-Baustoffkunde I und Bauchemie;BB-241-602412016-Mathematik II;Kein Datum gef;1;
;9;BB-241-602411030-Baustoffkunde I und Bauchemie;BB-241-602412020-Mechanik II;03 15:45-17:15;12;098
;10;BB-241-602411030-Baustoffkunde I und Bauchemie;BB-241-602412030-Baustoffkunde II;31 14:00-15:30;15;025
;11;BB-241-602411030-Baustoffkunde I und Bauchemie;BB-241-602412040-Geotechnik I;05 11:00-12:30;13;142
;12;BB-241-602411030-Baustoffkunde I und Bauchemie;BB-241-602412060-Recht und Management;29 11:00-13:00;13;022
BB-241-602411050-Vermessungskunde;;;;04 17:15-18:15;;;
;1;BB-241-602411050-Vermessungskunde;BB-241-602411010-Mathematik I;28 8:30-10:00;92;175
;2;BB-241-602411050-Vermessungskunde;BB-241-602411011-Mathematik I;Kein Datum gef;3;
;3;BB-241-602411050-Vermessungskunde;BB-241-602411020-Mechanik I;03 14:00-15:30;85;025
;4;BB-241-602411050-Vermessungskunde;BB-241-602411021-Mechanik I;Kein Datum gef;1;
;5;BB-241-602411050-Vermessungskunde;BB-241-602411030-Baustoffkunde I und Bauchemie;30 11:30-13:00;95;124
;6;BB-241-602411050-Vermessungskunde;BB-241-602411060-Bauphysik;06 14:00-15:30;94;043
;7;BB-241-602411050-Vermessungskunde;BB-241-602411070-Wirtschaft und Management;01 11:00-13:00;90;076
;8;BB-241-602411050-Vermessungskunde;BB-241-602412010-Mathematik II;27 8:30-10:30;7;198
;9;BB-241-602411050-Vermessungskunde;BB-241-602412016-Mathematik II;Kein Datum gef;1;
;10;BB-241-602411050-Vermessungskunde;BB-241-602412020-Mechanik II;03 15:45-17:15;7;024
;11;BB-241-602411050-Vermessungskunde;BB-241-602412030-Baustoffkunde II;31 14:00-15:30;9;097
;12;BB-241-602411050-Vermessungskunde;BB-241-602412040-Geotechnik I;05 11:00-12:30;7;016
;13;BB-241-602411050-Vermessungskunde;BB-241-602412060-Recht und Management;29 11:00-13:00;7;148
BB-241-602411060-Bauphysik;;;;06 14:00-15:30;;;
;1;BB-241-602411060-Bauphysik;BB-241-602411010-Mathematik I;28 8:30-10:00;94;220
;2;BB-241-602411060-Bauphysik;BB-241-602411011-Mathematik I;Kein Datum gef;3;
;3;BB-241-602411060-Bauphysik;BB-241-602411020-Mechanik I;03 14:00-15:30;87;070
;4;BB-241-602411060-Bauphysik;BB-241-602411021-Mechanik I;Kein Datum gef;1;
;5;BB-241-602411060-Bauphysik;BB-241-602411030-Baustoffkunde I und Bauchemie;30 11:30-13:00;95;169
;6;BB-241-602411060-Bauphysik;BB-241-602411050-Vermessungskunde;04 17:15-18:15;94;043
;7;BB-241-602411060-Bauphysik;BB-241-602411070-Wirtschaft und Management;01 11:00-13:00;92;121
;8;BB-241-602411060-Bauphysik;BB-241-602412010-Mathematik II;27 8:30-10:30;6;243
;9;BB-241-602411060-Bauphysik;BB-241-602412016-Mathematik II;Kein Datum gef;1;
;10;BB-241-602411060-Bauphysik;BB-241-602412020-Mechanik II;03 15:45-17:15;6;068
;11;BB-241-602411060-Bauphysik;BB-241-602412030-Baustoffkunde II;31 14:00-15:30;8;142
;12;BB-241-602411060-Bauphysik;BB-241-602412040-Geotechnik I;05 11:00-12:30;6;025
;13;BB-241-602411060-Bauphysik;BB-241-602412060-Recht und Management;29 11:00-13:00;7;193
BB-241-602411070-Wirtschaft und Management;;;;01 11:00-13:00;;;
;1;BB-241-602411070-Wirtschaft und Management;BB-241-602411010-Mathematik I;28 8:30-10:00;92;097
;2;BB-241-602411070-Wirtschaft und Management;BB-241-602411011-Mathematik I;Kein Datum gef;3;
;3;BB-241-602411070-Wirtschaft und Management;BB-241-602411020-Mechanik I;03 14:00-15:30;84;049
;4;BB-241-602411070-Wirtschaft und Management;BB-241-602411021-Mechanik I;Kein Datum gef;1;
;5;BB-241-602411070-Wirtschaft und Management;BB-241-602411030-Baustoffkunde I und Bauchemie;30 11:30-13:00;93;046
;6;BB-241-602411070-Wirtschaft und Management;BB-241-602411050-Vermessungskunde;04 17:15-18:15;90;076
;7;BB-241-602411070-Wirtschaft und Management;BB-241-602411060-Bauphysik;06 14:00-15:30;92;121
;8;BB-241-602411070-Wirtschaft und Management;BB-241-602412010-Mathematik II;27 8:30-10:30;7;120
;9;BB-241-602411070-Wirtschaft und Management;BB-241-602412020-Mechanik II;03 15:45-17:15;8;050
;10;BB-241-602411070-Wirtschaft und Management;BB-241-602412030-Baustoffkunde II;31 14:00-15:30;11;019
;11;BB-241-602411070-Wirtschaft und Management;BB-241-602412040-Geotechnik I;05 11:00-12:30;8;094
;12;BB-241-602411070-Wirtschaft und Management;BB-241-602412060-Recht und Management;29 11:00-13:00;9;070
BB-241-602412010-Mathematik II;;;;27 8:30-10:30;;;
;1;BB-241-602412010-Mathematik II;BB-241-602411010-Mathematik I;28 8:30-10:00;9;022
;2;BB-241-602412010-Mathematik II;BB-241-602411011-Mathematik I;Kein Datum gef;2;
;3;BB-241-602412010-Mathematik II;BB-241-602411020-Mechanik I;03 14:00-15:30;11;171
;4;BB-241-602412010-Mathematik II;BB-241-602411030-Baustoffkunde I und Bauchemie;30 11:30-13:00;12;073
;5;BB-241-602412010-Mathematik II;BB-241-602411050-Vermessungskunde;04 17:15-18:15;7;198
;6;BB-241-602412010-Mathematik II;BB-241-602411060-Bauphysik;06 14:00-15:30;6;243
;7;BB-241-602412010-Mathematik II;BB-241-602411070-Wirtschaft und Management;01 11:00-13:00;7;120
;8;BB-241-602412010-Mathematik II;BB-241-602412020-Mechanik II;03 15:45-17:15;27;173
;9;BB-241-602412010-Mathematik II;BB-241-602412030-Baustoffkunde II;31 14:00-15:30;26;099
;10;BB-241-602412010-Mathematik II;BB-241-602412040-Geotechnik I;05 11:00-12:30;27;216
;11;BB-241-602412010-Mathematik II;BB-241-602412060-Recht und Management;29 11:00-13:00;25;048
BB-241-602412016-Mathematik II;;;;Kein Datum gef;;
;1;BB-241-602412016-Mathematik II;BB-241-602411010-Mathematik I;28 8:30-10:00;1;
;2;BB-241-602412016-Mathematik II;BB-241-602411020-Mechanik I;03 14:00-15:30;1;
;3;BB-241-602412016-Mathematik II;BB-241-602411030-Baustoffkunde I und Bauchemie;30 11:30-13:00;1;
;4;BB-241-602412016-Mathematik II;BB-241-602411050-Vermessungskunde;04 17:15-18:15;1;
;5;BB-241-602412016-Mathematik II;BB-241-602411060-Bauphysik;06 14:00-15:30;1;
BB-241-602412020-Mechanik II;;;;03 15:45-17:15;;;
;1;BB-241-602412020-Mechanik II;BB-241-602411010-Mathematik I;28 8:30-10:00;10;149
;2;BB-241-602412020-Mechanik II;BB-241-602411011-Mathematik I;Kein Datum gef;2;
;3;BB-241-602412020-Mechanik II;BB-241-602411020-Mechanik I;03 14:00-15:30;11;000
;4;BB-241-602412020-Mechanik II;BB-241-602411030-Baustoffkunde I und Bauchemie;30 11:30-13:00;12;098
;5;BB-241-602412020-Mechanik II;BB-241-602411050-Vermessungskunde;04 17:15-18:15;7;024
;6;BB-241-602412020-Mechanik II;BB-241-602411060-Bauphysik;06 14:00-15:30;6;068
;7;BB-241-602412020-Mechanik II;BB-241-602411070-Wirtschaft und Management;01 11:00-13:00;8;050
;8;BB-241-602412020-Mechanik II;BB-241-602412010-Mathematik II;27 8:30-10:30;27;173
;9;BB-241-602412020-Mechanik II;BB-241-602412030-Baustoffkunde II;31 14:00-15:30;29;072
;10;BB-241-602412020-Mechanik II;BB-241-602412040-Geotechnik I;05 11:00-12:30;29;041
;11;BB-241-602412020-Mechanik II;BB-241-602412060-Recht und Management;29 11:00-13:00;27;122
BB-241-602412030-Baustoffkunde II;;;;31 14:00-15:30;;;
;1;BB-241-602412030-Baustoffkunde II;BB-241-602411010-Mathematik I;28 8:30-10:00;13;076
;2;BB-241-602412030-Baustoffkunde II;BB-241-602411011-Mathematik I;Kein Datum gef;2;
;3;BB-241-602412030-Baustoffkunde II;BB-241-602411020-Mechanik I;03 14:00-15:30;12;070
;4;BB-241-602412030-Baustoffkunde II;BB-241-602411021-Mechanik I;Kein Datum gef;1;
;5;BB-241-602412030-Baustoffkunde II;BB-241-602411030-Baustoffkunde I und Bauchemie;30 11:30-13:00;15;025
;6;BB-241-602412030-Baustoffkunde II;BB-241-602411050-Vermessungskunde;04 17:15-18:15;9;097
;7;BB-241-602412030-Baustoffkunde II;BB-241-602411060-Bauphysik;06 14:00-15:30;8;142
;8;BB-241-602412030-Baustoffkunde II;BB-241-602411070-Wirtschaft und Management;01 11:00-13:00;11;019
;9;BB-241-602412030-Baustoffkunde II;BB-241-602412010-Mathematik II;27 8:30-10:30;26;099
;10;BB-241-602412030-Baustoffkunde II;BB-241-602412020-Mechanik II;03 15:45-17:15;29;072
;11;BB-241-602412030-Baustoffkunde II;BB-241-602412040-Geotechnik I;05 11:00-12:30;30;115
;12;BB-241-602412030-Baustoffkunde II;BB-241-602412060-Recht und Management;29 11:00-13:00;28;049
BB-241-602412040-Geotechnik I;;;;05 11:00-12:30;;;
;1;BB-241-602412040-Geotechnik I;BB-241-602411010-Mathematik I;28 8:30-10:00;11;193
;2;BB-241-602412040-Geotechnik I;BB-241-602411011-Mathematik I;Kein Datum gef;2;
;3;BB-241-602412040-Geotechnik I;BB-241-602411020-Mechanik I;03 14:00-15:30;10;043
;4;BB-241-602412040-Geotechnik I;BB-241-602411030-Baustoffkunde I und Bauchemie;30 11:30-13:00;13;142
;5;BB-241-602412040-Geotechnik I;BB-241-602411050-Vermessungskunde;04 17:15-18:15;7;016
;6;BB-241-602412040-Geotechnik I;BB-241-602411060-Bauphysik;06 14:00-15:30;6;025
;7;BB-241-602412040-Geotechnik I;BB-241-602411070-Wirtschaft und Management;01 11:00-13:00;8;094
;8;BB-241-602412040-Geotechnik I;BB-241-602412010-Mathematik II;27 8:30-10:30;27;216
;9;BB-241-602412040-Geotechnik I;BB-241-602412020-Mechanik II;03 15:45-17:15;29;041
;10;BB-241-602412040-Geotechnik I;BB-241-602412030-Baustoffkunde II;31 14:00-15:30;30;115
;11;BB-241-602412040-Geotechnik I;BB-241-602412060-Recht und Management;29 11:00-13:00;30;166
BB-241-602412060-Recht und Management;;;;29 11:00-13:00;;;
;1;BB-241-602412060-Recht und Management;BB-241-602411010-Mathematik I;28 8:30-10:00;12;025
;2;BB-241-602412060-Recht und Management;BB-241-602411011-Mathematik I;Kein Datum gef;2;
;3;BB-241-602412060-Recht und Management;BB-241-602411020-Mechanik I;03 14:00-15:30;9;121
;4;BB-241-602412060-Recht und Management;BB-241-602411030-Baustoffkunde I und Bauchemie;30 11:30-13:00;13;022
;5;BB-241-602412060-Recht und Management;BB-241-602411050-Vermessungskunde;04 17:15-18:15;7;148
;6;BB-241-602412060-Recht und Management;BB-241-602411060-Bauphysik;06 14:00-15:30;7;193
;7;BB-241-602412060-Recht und Management;BB-241-602411070-Wirtschaft und Management;01 11:00-13:00;9;070
;8;BB-241-602412060-Recht und Management;BB-241-602412010-Mathematik II;27 8:30-10:30;25;048
;9;BB-241-602412060-Recht und Management;BB-241-602412020-Mechanik II;03 15:45-17:15;27;122
;10;BB-241-602412060-Recht und Management;BB-241-602412030-Baustoffkunde II;31 14:00-15:30;28;049
;11;BB-241-602412060-Recht und Management;BB-241-602412040-Geotechnik I;05 11:00-12:30;30;166
BDI-222-1212221030-Grundlagen der Digitalisierung;;;;05 14:00-16:00;;;
;1;BDI-222-1212221030-Grundlagen der Digitalisierung;BDI-222-1212222010-Mathematik 2;27 8:30-10:30;1;219
;2;BDI-222-1212221030-Grundlagen der Digitalisierung;BDI-222-1212222020-Programmieren 2;06 9:00-11:00;1;017
;3;BDI-222-1212221030-Grundlagen der Digitalisierung;BDI-222-1212222040-Telematik;28 8:30-10:00;1;196
BDI-222-1212221040-Einführung in die Logistik und Betriebswirtschaftslehre;;;;30 11:30-13:00;;;
;1;BDI-222-1212221040-Einführung in die Logistik und Betriebswirtschaftslehre;BDI-222-1212222020-Programmieren 2;06 9:00-11:00;1;164
;2;BDI-222-1212221040-Einführung in die Logistik und Betriebswirtschaftslehre;BDI-222-1222222060-Fremsprachen 2;Kein Datum gef;1;
BDI-222-1212221050-Fremdsprachen 1;;;;Kein Datum gef;;
;1;BDI-222-1212221050-Fremdsprachen 1;BDI-222-1212222010-Mathematik 2;27 8:30-10:30;1;
BDI-222-1212222010-Mathematik 2;;;;27 8:30-10:30;;;
;1;BDI-222-1212222010-Mathematik 2;BDI-222-1212221030-Grundlagen der Digitalisierung;05 14:00-16:00;1;219
;2;BDI-222-1212222010-Mathematik 2;BDI-222-1212221050-Fremdsprachen 1;Kein Datum gef;1;
;3;BDI-222-1212222010-Mathematik 2;BDI-222-1212222020-Programmieren 2;06 9:00-11:00;6;238
;4;BDI-222-1212222010-Mathematik 2;BDI-222-1212222040-Telematik;28 8:30-10:00;2;022
;5;BDI-222-1212222010-Mathematik 2;BDI-222-1212223010-Modellierung raumbezogener Daten;28 14:00-15:30;6;027
;6;BDI-222-1212222010-Mathematik 2;BDI-222-1212223020-Datenstrukturen und Algorithmen;05 8:30-10:30;5;214
;7;BDI-222-1212222010-Mathematik 2;BDI-222-1212223030-IT für Unternehmensnetzwerke;25 9:30-11:00;4;045
;8;BDI-222-1212222010-Mathematik 2;BDI-222-1212223050-Operations Research;31 11:30-13:00;6;097
;9;BDI-222-1212222010-Mathematik 2;BDI-222-1222222060-Fremsprachen 2;Kein Datum gef;1;
BDI-222-1212222020-Programmieren 2;;;;06 9:00-11:00;;;
;1;BDI-222-1212222020-Programmieren 2;BDI-222-1212221030-Grundlagen der Digitalisierung;05 14:00-16:00;1;017
;2;BDI-222-1212222020-Programmieren 2;BDI-222-1212221040-Einführung in die Logistik und Betriebswirtschaftslehre;30 11:30-13:00;1;164
;3;BDI-222-1212222020-Programmieren 2;BDI-222-1212222010-Mathematik 2;27 8:30-10:30;6;238
;4;BDI-222-1212222020-Programmieren 2;BDI-222-1212222040-Telematik;28 8:30-10:00;2;215
;5;BDI-222-1212222020-Programmieren 2;BDI-222-1212222050-Sensoren und Auswerttechnik;04 14:00-16:00;1;041
;6;BDI-222-1212222020-Programmieren 2;BDI-222-1212223010-Modellierung raumbezogener Daten;28 14:00-15:30;1;209
;7;BDI-222-1212222020-Programmieren 2;BDI-222-1212223020-Datenstrukturen und Algorithmen;05 8:30-10:30;1;022
;8;BDI-222-1212222020-Programmieren 2;BDI-222-1212223030-IT für Unternehmensnetzwerke;25 9:30-11:00;1;286
;9;BDI-222-1212222020-Programmieren 2;BDI-222-1212223050-Operations Research;31 11:30-13:00;1;140
;10;BDI-222-1212222020-Programmieren 2;BDI-222-1222222060-Fremsprachen 2;Kein Datum gef;1;
BDI-222-1212222040-Telematik;;;;28 8:30-10:00;;;
;1;BDI-222-1212222040-Telematik;BDI-222-1212221030-Grundlagen der Digitalisierung;05 14:00-16:00;1;196
;2;BDI-222-1212222040-Telematik;BDI-222-1212222010-Mathematik 2;27 8:30-10:30;2;022
;3;BDI-222-1212222040-Telematik;BDI-222-1212222020-Programmieren 2;06 9:00-11:00;2;215
;4;BDI-222-1212222040-Telematik;BDI-222-1212222050-Sensoren und Auswerttechnik;04 14:00-16:00;1;172
BDI-222-1212222050-Sensoren und Auswerttechnik;;;;04 14:00-16:00;;;
;1;BDI-222-1212222050-Sensoren und Auswerttechnik;BDI-222-1212222020-Programmieren 2;06 9:00-11:00;1;041
;2;BDI-222-1212222050-Sensoren und Auswerttechnik;BDI-222-1212222040-Telematik;28 8:30-10:00;1;172
BDI-222-1212223010-Modellierung raumbezogener Daten;;;;28 14:00-15:30;;;
;1;BDI-222-1212223010-Modellierung raumbezogener Daten;BDI-222-1212222010-Mathematik 2;27 8:30-10:30;6;027
;2;BDI-222-1212223010-Modellierung raumbezogener Daten;BDI-222-1212222020-Programmieren 2;06 9:00-11:00;1;209
;3;BDI-222-1212223010-Modellierung raumbezogener Daten;BDI-222-1212223020-Datenstrukturen und Algorithmen;05 8:30-10:30;18;185
;4;BDI-222-1212223010-Modellierung raumbezogener Daten;BDI-222-1212223030-IT für Unternehmensnetzwerke;25 9:30-11:00;16;075
;5;BDI-222-1212223010-Modellierung raumbezogener Daten;BDI-222-1212223050-Operations Research;31 11:30-13:00;17;068
;6;BDI-222-1212223010-Modellierung raumbezogener Daten;BDI-222-1212224030-Verteilte Systeme;29 14:00-16:00;2;022
;7;BDI-222-1212223010-Modellierung raumbezogener Daten;BDI-222-1222222060-Fremsprachen 2;Kein Datum gef;1;
BDI-222-1212223020-Datenstrukturen und Algorithmen;;;;05 8:30-10:30;;;
;1;BDI-222-1212223020-Datenstrukturen und Algorithmen;BDI-222-1212222010-Mathematik 2;27 8:30-10:30;5;214
;2;BDI-222-1212223020-Datenstrukturen und Algorithmen;BDI-222-1212222020-Programmieren 2;06 9:00-11:00;1;022
;3;BDI-222-1212223020-Datenstrukturen und Algorithmen;BDI-222-1212223010-Modellierung raumbezogener Daten;28 14:00-15:30;18;185
;4;BDI-222-1212223020-Datenstrukturen und Algorithmen;BDI-222-1212223030-IT für Unternehmensnetzwerke;25 9:30-11:00;15;261
;5;BDI-222-1212223020-Datenstrukturen und Algorithmen;BDI-222-1212223050-Operations Research;31 11:30-13:00;17;115
;6;BDI-222-1212223020-Datenstrukturen und Algorithmen;BDI-222-1212224030-Verteilte Systeme;29 14:00-16:00;3;160
;7;BDI-222-1212223020-Datenstrukturen und Algorithmen;BDI-222-1212224050-Recht, Qualitätsmanagement und Patente;07 8:30-10:30;1;046
;8;BDI-222-1212223020-Datenstrukturen und Algorithmen;BDI-222-1222222060-Fremsprachen 2;Kein Datum gef;1;
BDI-222-1212223030-IT für Unternehmensnetzwerke;;;;25 9:30-11:00;;;
;1;BDI-222-1212223030-IT für Unternehmensnetzwerke;BDI-222-1212222010-Mathematik 2;27 8:30-10:30;4;045
;2;BDI-222-1212223030-IT für Unternehmensnetzwerke;BDI-222-1212222020-Programmieren 2;06 9:00-11:00;1;286
;3;BDI-222-1212223030-IT für Unternehmensnetzwerke;BDI-222-1212223010-Modellierung raumbezogener Daten;28 14:00-15:30;16;075
;4;BDI-222-1212223030-IT für Unternehmensnetzwerke;BDI-222-1212223020-Datenstrukturen und Algorithmen;05 8:30-10:30;15;261
;5;BDI-222-1212223030-IT für Unternehmensnetzwerke;BDI-222-1212223050-Operations Research;31 11:30-13:00;14;144
;6;BDI-222-1212223030-IT für Unternehmensnetzwerke;BDI-222-1212224030-Verteilte Systeme;29 14:00-16:00;2;099
;7;BDI-222-1212223030-IT für Unternehmensnetzwerke;BDI-222-1222222060-Fremsprachen 2;Kein Datum gef;1;
BDI-222-1212223050-Operations Research;;;;31 11:30-13:00;;;
;1;BDI-222-1212223050-Operations Research;BDI-222-1212222010-Mathematik 2;27 8:30-10:30;6;097
;2;BDI-222-1212223050-Operations Research;BDI-222-1212222020-Programmieren 2;06 9:00-11:00;1;140
;3;BDI-222-1212223050-Operations Research;BDI-222-1212223010-Modellierung raumbezogener Daten;28 14:00-15:30;17;068
;4;BDI-222-1212223050-Operations Research;BDI-222-1212223020-Datenstrukturen und Algorithmen;05 8:30-10:30;17;115
;5;BDI-222-1212223050-Operations Research;BDI-222-1212223030-IT für Unternehmensnetzwerke;25 9:30-11:00;14;144
;6;BDI-222-1212223050-Operations Research;BDI-222-1212224010-Datenbanksysteme;01 9:00-10:00;1;020
;7;BDI-222-1212223050-Operations Research;BDI-222-1212224030-Verteilte Systeme;29 14:00-16:00;2;043
;8;BDI-222-1212223050-Operations Research;BDI-222-1212224050-Recht, Qualitätsmanagement und Patente;07 8:30-10:30;1;163
;9;BDI-222-1212223050-Operations Research;BDI-222-1222222060-Fremsprachen 2;Kein Datum gef;1;
BDI-222-1212224010-Datenbanksysteme;;;;01 9:00-10:00;;;
;1;BDI-222-1212224010-Datenbanksysteme;BDI-222-1212223050-Operations Research;31 11:30-13:00;1;020
;2;BDI-222-1212224010-Datenbanksysteme;BDI-222-1212224030-Verteilte Systeme;29 14:00-16:00;1;065
BDI-222-1212224030-Verteilte Systeme;;;;29 14:00-16:00;;;
;1;BDI-222-1212224030-Verteilte Systeme;BDI-222-1212223010-Modellierung raumbezogener Daten;28 14:00-15:30;2;022
;2;BDI-222-1212224030-Verteilte Systeme;BDI-222-1212223020-Datenstrukturen und Algorithmen;05 8:30-10:30;3;160
;3;BDI-222-1212224030-Verteilte Systeme;BDI-222-1212223030-IT für Unternehmensnetzwerke;25 9:30-11:00;2;099
;4;BDI-222-1212224030-Verteilte Systeme;BDI-222-1212223050-Operations Research;31 11:30-13:00;2;043
;5;BDI-222-1212224030-Verteilte Systeme;BDI-222-1212224010-Datenbanksysteme;01 9:00-10:00;1;065
;6;BDI-222-1212224030-Verteilte Systeme;BDI-222-1212224050-Recht, Qualitätsmanagement und Patente;07 8:30-10:30;1;208
BDI-222-1212224040-Technisches Kommunikationsmanagement;;;;06 11:30-13:00;;;
;1;BDI-222-1212224040-Technisches Kommunikationsmanagement;BDI-222-1212224050-Recht, Qualitätsmanagement und Patente;07 8:30-10:30;1;019
BDI-222-1212224050-Recht, Qualitätsmanagement und Patente;;;;07 8:30-10:30;;;
;1;BDI-222-1212224050-Recht, Qualitätsmanagement und Patente;BDI-222-1212223020-Datenstrukturen und Algorithmen;05 8:30-10:30;1;046
;2;BDI-222-1212224050-Recht, Qualitätsmanagement und Patente;BDI-222-1212223050-Operations Research;31 11:30-13:00;1;163
;3;BDI-222-1212224050-Recht, Qualitätsmanagement und Patente;BDI-222-1212224030-Verteilte Systeme;29 14:00-16:00;1;208
;4;BDI-222-1212224050-Recht, Qualitätsmanagement und Patente;BDI-222-1212224040-Technisches Kommunikationsmanagement;06 11:30-13:00;1;019
BDI-222-1222222060-Fremsprachen 2;;;;Kein Datum gef;;
;1;BDI-222-1222222060-Fremsprachen 2;BDI-222-1212221040-Einführung in die Logistik und Betriebswirtschaftslehre;30 11:30-13:00;1;
;2;BDI-222-1222222060-Fremsprachen 2;BDI-222-1212222010-Mathematik 2;27 8:30-10:30;1;
;3;BDI-222-1222222060-Fremsprachen 2;BDI-222-1212222020-Programmieren 2;06 9:00-11:00;1;
;4;BDI-222-1222222060-Fremsprachen 2;BDI-222-1212223010-Modellierung raumbezogener Daten;28 14:00-15:30;1;
;5;BDI-222-1222222060-Fremsprachen 2;BDI-222-1212223020-Datenstrukturen und Algorithmen;05 8:30-10:30;1;
;6;BDI-222-1222222060-Fremsprachen 2;BDI-222-1212223030-IT für Unternehmensnetzwerke;25 9:30-11:00;1;
;7;BDI-222-1222222060-Fremsprachen 2;BDI-222-1212223050-Operations Research;31 11:30-13:00;1;
BDI-242-1212421030-Grundlagen der Digitalisierung;;;;05 14:00-16:00;;;
;1;BDI-242-1212421030-Grundlagen der Digitalisierung;BDI-242-1212421040-Fremdsprachen 1;Kein Datum gef;25;
;2;BDI-242-1212421030-Grundlagen der Digitalisierung;BDI-242-1212421050-Einführung in die Betriebswirtschaftslehre;30 11:30-13:00;25;145
;3;BDI-242-1212421030-Grundlagen der Digitalisierung;BDI-242-1212421060-Einführung in die Logistik und Netzwerktechnik;28 8:30-10:00;25;196
BDI-242-1212421040-Fremdsprachen 1;;;;Kein Datum gef;;
;1;BDI-242-1212421040-Fremdsprachen 1;BDI-242-1212421030-Grundlagen der Digitalisierung;05 14:00-16:00;25;
;2;BDI-242-1212421040-Fremdsprachen 1;BDI-242-1212421050-Einführung in die Betriebswirtschaftslehre;30 11:30-13:00;28;
;3;BDI-242-1212421040-Fremdsprachen 1;BDI-242-1212421060-Einführung in die Logistik und Netzwerktechnik;28 8:30-10:00;28;
BDI-242-1212421050-Einführung in die Betriebswirtschaftslehre;;;;30 11:30-13:00;;;
;1;BDI-242-1212421050-Einführung in die Betriebswirtschaftslehre;BDI-242-1212421030-Grundlagen der Digitalisierung;05 14:00-16:00;25;145
;2;BDI-242-1212421050-Einführung in die Betriebswirtschaftslehre;BDI-242-1212421040-Fremdsprachen 1;Kein Datum gef;28;
;3;BDI-242-1212421050-Einführung in die Betriebswirtschaftslehre;BDI-242-1212421060-Einführung in die Logistik und Netzwerktechnik;28 8:30-10:00;29;049
BDI-242-1212421060-Einführung in die Logistik und Netzwerktechnik;;;;28 8:30-10:00;;;
;1;BDI-242-1212421060-Einführung in die Logistik und Netzwerktechnik;BDI-242-1212421030-Grundlagen der Digitalisierung;05 14:00-16:00;25;196
;2;BDI-242-1212421060-Einführung in die Logistik und Netzwerktechnik;BDI-242-1212421040-Fremdsprachen 1;Kein Datum gef;28;
;3;BDI-242-1212421060-Einführung in die Logistik und Netzwerktechnik;BDI-242-1212421050-Einführung in die Betriebswirtschaftslehre;30 11:30-13:00;29;049
BW-132-9015-Nationale und Internationale Rechnungslegung;;;;30 14:00-16:00;;;
BW-132-9020-Corporate Finance;;;;Kein Datum gef;;
;1;BW-132-9020-Corporate Finance;BW-1927-19274030-Beschaffung und Logistik;Kein Datum gef;5;
