Fach 1;Lfd. Nr.;Fach 1;Fach 2;Datum / Uhrzeit;Kollisionen;Abstand
;8;Betriebliches Immobilienmanagement.--.17000.--.201.--.WBI;Straßenbautechnik.--.16030.--.201.--.WBI;31 14:00-15:00;1;
Betriebliches Rechnungswesen.--.1242122030.--.212.--.WI;;;;05 14:00-15:30;;;
;1;Betriebliches Rechnungswesen.--.1242122030.--.212.--.WI;Datenbanksysteme.--.1242123040.--.212.--.WI;03 17:00-18:00;3;044
;2;Betriebliches Rechnungswesen.--.1242122030.--.212.--.WI;Diskrete Mathematik.--.1242121020.--.212.--.WI;28 14:00-15:30;1;190
;3;Betriebliches Rechnungswesen.--.1242122030.--.212.--.WI;Grundlagen der BWL.--.1242121030.--.212.--.WI;06 11:30-13:00;2;020
;4;Betriebliches Rechnungswesen.--.1242122030.--.212.--.WI;Grundlagen der Wirtschaftsinformatik.--.1242121040.--.212.--.WI;25 11:30-13:00;3;265
;5;Betriebliches Rechnungswesen.--.1242122030.--.212.--.WI;IT-Sicherheit.--.1242123050.--.212.--.WI;06 14:00-15:30;2;022
;6;Betriebliches Rechnungswesen.--.1242122030.--.212.--.WI;Kosten- und Leistungsrechnung.--.1242123030.--.212.--.WI;29 8:30-10:30;3;171
;7;Betriebliches Rechnungswesen.--.1242122030.--.212.--.WI;Mathematik 2.--.1242122010.--.212.--.WI;27 8:30-10:30;23;219
;8;Betriebliches Rechnungswesen.--.1242122030.--.212.--.WI;Mathematik 2.--.1242122011.--.212.--.WI;Kein Datum gef;1;
;9;Betriebliches Rechnungswesen.--.1242122030.--.212.--.WI;Operations Research.--.1242123010.--.212.--.WI;31 11:30-13:00;1;121
;10;Betriebliches Rechnungswesen.--.1242122030.--.212.--.WI;Programmieren 2.--.1242122040.--.212.--.WI;30 14:00-16:00;12;142
;11;Betriebliches Rechnungswesen.--.1242122030.--.212.--.WI;Volkswirtschaftslehre.--.1242122020.--.212.--.WI;03 14:00-15:30;18;046
Betriebswirtschaft.--.1050.--.182.--.WBI;;;;06 11:00-12:30;;;
;1;Betriebswirtschaft.--.1050.--.182.--.WBI;Baumanagement 1.--.2040.--.182.--.WBI;03 14:00-15:30;1;067
;2;Betriebswirtschaft.--.1050.--.182.--.WBI;Baustoffkunde und Bauphysik.--.1030.--.182.--.WBI;25 11:00-12:30;1;286
;3;Betriebswirtschaft.--.1050.--.182.--.WBI;Rechnungswesen.--.2050.--.182.--.WBI;28 17:00-18:30;1;208
;4;Betriebswirtschaft.--.1050.--.182.--.WBI;Volkswirtschaft + Recht 1.--.1040.--.182.--.WBI;05 14:00-15:30;1;019
Betriebswirtschaft.--.642011050.--.201.--.WBI;;;;06 11:00-13:00;;;
;1;Betriebswirtschaft.--.642011050.--.201.--.WBI;Architektur und Städtebau.--.642013010.--.201.--.WBI;07 11:00-11:45;1;022
;2;Betriebswirtschaft.--.642011050.--.201.--.WBI;Baukonstruktion und Brandschutz.--.642013020.--.201.--.WBI;28 11:30-12:30;1;214
;3;Betriebswirtschaft.--.642011050.--.201.--.WBI;Baumanagement 1.--.642012040.--.201.--.WBI;03 14:00-16:30;9;066
;4;Betriebswirtschaft.--.642011050.--.201.--.WBI;Baumanagement II.--.642013040.--.201.--.WBI;05 11:00-13:00;1;022
;5;Betriebswirtschaft.--.642011050.--.201.--.WBI;Baustatik.--.642013030.--.201.--.WBI;04 11:30-13:00;1;046
;6;Betriebswirtschaft.--.642011050.--.201.--.WBI;Baustoffkunde und Bauphysik.--.642011030.--.201.--.WBI;25 11:00-13:00;44;286
;7;Betriebswirtschaft.--.642011050.--.201.--.WBI;Bilanzierung und Steuerlehre.--.642013050.--.201.--.WBI;30 14:00-16:00;1;163
;8;Betriebswirtschaft.--.642011050.--.201.--.WBI;Geotechnik und Vermessung.--.642012030.--.201.--.WBI;30 8:30-10:30;11;168
;9;Betriebswirtschaft.--.642011050.--.201.--.WBI;Immobilenwirtschaft I.--.642013060.--.201.--.WBI;01 9:00-10:30;1;120
;10;Betriebswirtschaft.--.642011050.--.201.--.WBI;Mathematik I.--.642011010.--.201.--.WBI;07 8:30-10:00;40;019
;11;Betriebswirtschaft.--.642011050.--.201.--.WBI;Mathematik I.--.642011011.--.201.--.WBI;07 8:30-10:00;6;019
;12;Betriebswirtschaft.--.642011050.--.201.--.WBI;Mathematik II.--.642012010.--.201.--.WBI;27 8:30-10:30;11;240
;13;Betriebswirtschaft.--.642011050.--.201.--.WBI;Mechanik I.--.642011020.--.201.--.WBI;31 11:30-13:00;30;142
;14;Betriebswirtschaft.--.642011050.--.201.--.WBI;Mechanik I.--.642011021.--.201.--.WBI;31 11:30-13:00;9;142
;15;Betriebswirtschaft.--.642011050.--.201.--.WBI;Mechanik I.--.642011022.--.201.--.WBI;Kein Datum gef;1;
;16;Betriebswirtschaft.--.642011050.--.201.--.WBI;Mechanik II.--.642012020.--.201.--.WBI;04 14:00-15:30;7;043
;17;Betriebswirtschaft.--.642011050.--.201.--.WBI;Rechnungswesen.--.642012050.--.201.--.WBI;28 17:00-19:00;11;208
;18;Betriebswirtschaft.--.642011050.--.201.--.WBI;Volkswirtschaft + Recht 1.--.642011040.--.201.--.WBI;05 14:00-16:00;43;019
Betriebswirtschaftslehre.--.1202121050.--.212.--.IF;;;;06 11:30-13:00;;;
;1;Betriebswirtschaftslehre.--.1202121050.--.212.--.IF;Datenstrukturen und Algorithmen.--.1202122040.--.212.--.IF;05 8:30-10:30;4;025
;2;Betriebswirtschaftslehre.--.1202121050.--.212.--.IF;Diskrete Mathematik.--.1202121020.--.212.--.IF;28 14:00-15:30;48;212
;3;Betriebswirtschaftslehre.--.1202121050.--.212.--.IF;Einführung in die Informatik.--.1202121030.--.212.--.IF;31 14:00-15:00;34;140
;4;Betriebswirtschaftslehre.--.1202121050.--.212.--.IF;Mathematik 1.--.1202121010.--.212.--.IF;04 8:30-10:00;28;049
;5;Betriebswirtschaftslehre.--.1202121050.--.212.--.IF;Mathematik 2.--.1202122010.--.212.--.IF;27 8:30-10:00;2;241
;6;Betriebswirtschaftslehre.--.1202121050.--.212.--.IF;Programmieren 2.--.1202122020.--.212.--.IF;30 14:00-16:00;1;163
;7;Betriebswirtschaftslehre.--.1202121050.--.212.--.IF;Statistik.--.1202123010.--.212.--.IF;01 11:30-13:00;1;118
Bilanzierung und Steuerlehre.--.3050.--.182.--.WBI;;;;30 14:00-16:00;;;
;1;Bilanzierung und Steuerlehre.--.3050.--.182.--.WBI;Recht III.--.7010.--.182.--.WBI;04 14:00-16:00;1;118
Bilanzierung und Steuerlehre.--.642013050.--.201.--.WBI;;;;30 14:00-16:00;;;
;1;Bilanzierung und Steuerlehre.--.642013050.--.201.--.WBI;Arbeitsschutz.--.642014060.--.201.--.WBI;06 8:30-9:30;1;160
;2;Bilanzierung und Steuerlehre.--.642013050.--.201.--.WBI;Architektur und Städtebau.--.642013010.--.201.--.WBI;07 11:00-11:45;18;187
;3;Bilanzierung und Steuerlehre.--.642013050.--.201.--.WBI;Baukonstruktion und Brandschutz.--.642013020.--.201.--.WBI;28 11:30-12:30;18;049
;4;Bilanzierung und Steuerlehre.--.642013050.--.201.--.WBI;Baumanagement 1.--.642012040.--.201.--.WBI;03 14:00-16:30;3;094
;5;Bilanzierung und Steuerlehre.--.642013050.--.201.--.WBI;Baumanagement II.--.642013040.--.201.--.WBI;05 11:00-13:00;18;139
;6;Bilanzierung und Steuerlehre.--.642013050.--.201.--.WBI;Baustatik.--.642013030.--.201.--.WBI;04 11:30-13:00;19;115
;7;Bilanzierung und Steuerlehre.--.642013050.--.201.--.WBI;Betriebswirtschaft.--.642011050.--.201.--.WBI;06 11:00-13:00;1;163
;8;Bilanzierung und Steuerlehre.--.642013050.--.201.--.WBI;Energietechnik II.--.642016020.--.201.--.WBI;05 14:00-16:00;4;142
;9;Bilanzierung und Steuerlehre.--.642013050.--.201.--.WBI;Immobilenwirtschaft I.--.642013060.--.201.--.WBI;01 9:00-10:30;20;041
;10;Bilanzierung und Steuerlehre.--.642013050.--.201.--.WBI;Immobilienfinanzierung und-investition.--.17140.--.201.--.WBI;27 17:00-17:45;1;068
;11;Bilanzierung und Steuerlehre.--.642013050.--.201.--.WBI;Immobilienwirtschaft II.--.642016010.--.201.--.WBI;01 11:00-13:00;1;043
;12;Bilanzierung und Steuerlehre.--.642013050.--.201.--.WBI;Investition und Finanzierung.--.642014040.--.201.--.WBI;29 11:00-13:00;5;025
;13;Bilanzierung und Steuerlehre.--.642013050.--.201.--.WBI;Nachhaltige und ressourceneffiziente Geschossbauten.--.17160.--.201.--.WBI;29 17:00-18:00;6;020
;14;Bilanzierung und Steuerlehre.--.642013050.--.201.--.WBI;Nachhaltigkeit, Umwelt, Verantwortung.--.17170.--.201.--.WBI;05 8:30-9:30;1;136
;15;Bilanzierung und Steuerlehre.--.642013050.--.201.--.WBI;Rechnungswesen.--.642012050.--.201.--.WBI;28 17:00-19:00;2;043
;16;Bilanzierung und Steuerlehre.--.642013050.--.201.--.WBI;Recht II.--.642016030.--.201.--.WBI;28 14:00-16:00;2;046
;17;Bilanzierung und Steuerlehre.--.642013050.--.201.--.WBI;Recht III.--.642017010.--.201.--.WBI;04 14:00-16:00;9;118
;18;Bilanzierung und Steuerlehre.--.642013050.--.201.--.WBI;Schlüsselfertigbau.--.642014050.--.201.--.WBI;03 8:30-9:30;4;088
;19;Bilanzierung und Steuerlehre.--.642013050.--.201.--.WBI;Straßenbautechnik.--.16030.--.201.--.WBI;31 14:00-15:00;4;022
Bilanzpolitik und Bilanzanalyse.--.611924033.--.192.--.BW;;;;29 11:00-13:00;;;
;1;Bilanzpolitik und Bilanzanalyse.--.611924033.--.192.--.BW;Beschaffung und Logistik.--.611924030.--.192.--.BW;25 11:00-13:00;4;094
;2;Bilanzpolitik und Bilanzanalyse.--.611924033.--.192.--.BW;Controlling.--.611929017.--.192.--.BW;06 9:00-10:30;4;188
;3;Bilanzpolitik und Bilanzanalyse.--.611924033.--.192.--.BW;Einführung Marketing und Vertriebsmanagement.--.611929018.--.192.--.BW;04 8:30-10:00;3;139
;4;Bilanzpolitik und Bilanzanalyse.--.611924033.--.192.--.BW;Finanzdienstleistungen und Kapitalmärkte.--.611924035.--.192.--.BW;31 8:30-10:30;1;043
;5;Bilanzpolitik und Bilanzanalyse.--.611924033.--.192.--.BW;Nationale und Internationale Rechnungslegung.--.611929016.--.192.--.BW;30 14:00-16:00;7;025
;6;Bilanzpolitik und Bilanzanalyse.--.611924033.--.192.--.BW;Operations Research.--.611924020.--.192.--.BW;03 11:30-13:00;8;118
;7;Bilanzpolitik und Bilanzanalyse.--.611924033.--.192.--.BW;Recht und Steuern.--.611929014.--.192.--.BW;27 14:00-16:00;3;043
;8;Bilanzpolitik und Bilanzanalyse.--.611924033.--.192.--.BW;Steuerberatung und -gestaltung.--.611924038.--.192.--.BW;07 9:00-11:00;4;212
Binnenschifffahrt und Luftverkehr.--.2010.--.162.--.VIS;;;;29 9:00-11:00;;;
;1;Binnenschifffahrt und Luftverkehr.--.2010.--.162.--.VIS;Bemessung und Erhaltung von Straßen.--.2020.--.162.--.VIS;04 9:00-12:00;1;142
;2;Binnenschifffahrt und Luftverkehr.--.2010.--.162.--.VIS;Innovative Verfahren im Straßenbau.--.18200.--.162.--.VIS;25 14:00-15:00;1;090
Brandschutz Projektmanagement.--.18100.--.222.--.IM;;;;28 11:30-12:30;;;
;1;Brandschutz Projektmanagement.--.18100.--.222.--.IM;Abfallwirtschaft.--.622227050.--.222.--.IM;29 17:00-18:00;15;028
;2;Brandschutz Projektmanagement.--.18100.--.222.--.IM;Bahntechnik.--.19100.--.222.--.IM;31 14:00-15:00;4;073
;3;Brandschutz Projektmanagement.--.18100.--.222.--.IM;Baustellenmanagement Projektmanagement.--.18130.--.222.--.IM;07 11:30-12:30;5;239
;4;Brandschutz Projektmanagement.--.18100.--.222.--.IM;Energie 3.--.622225010.--.222.--.IM;31 11:00-12:30;6;070
;5;Brandschutz Projektmanagement.--.18100.--.222.--.IM;Innovative Verfahren im Straßenbau.--.19140.--.222.--.IM;25 14:00-15:00;10;068
;6;Brandschutz Projektmanagement.--.18100.--.222.--.IM;Internationaler ÖPNV.--.19130.--.222.--.IM;06 11:30-12:15;2;215
;7;Brandschutz Projektmanagement.--.18100.--.222.--.IM;Laborpraktikum im Straßenbauwesen.--.19170.--.222.--.IM;01 14:00-15:00;1;097
;8;Brandschutz Projektmanagement.--.18100.--.222.--.IM;Nachhaltigkeit, Umwelt, Verantwortung.--.622223010.--.222.--.IM;05 8:30-9:30;1;188
;9;Brandschutz Projektmanagement.--.18100.--.222.--.IM;Projektmanagement und -entwicklung 2.--.622223070.--.222.--.IM;01 9:00-11:00;2;092
;10;Brandschutz Projektmanagement.--.18100.--.222.--.IM;Projektmanagement und -entwicklung 3.--.622225020.--.222.--.IM;06 14:00-15:30;1;217
;11;Brandschutz Projektmanagement.--.18100.--.222.--.IM;Recht 2.--.622227020.--.222.--.IM;05 11:30-13:00;15;191
;12;Brandschutz Projektmanagement.--.18100.--.222.--.IM;Siedlungswasserwirtschaft.--.622225030.--.222.--.IM;27 14:00-17:00;6;018
;13;Brandschutz Projektmanagement.--.18100.--.222.--.IM;Verkehrsinfrastruktur 3.--.622226030.--.222.--.IM;04 11:00-13:00;15;166
;14;Brandschutz Projektmanagement.--.18100.--.222.--.IM;Wasserfachliche Grundlagen.--.622223050.--.222.--.IM;29 11:30-12:30;1;023
;15;Brandschutz Projektmanagement.--.18100.--.222.--.IM;Wasserversorgung 2 Schwerpunkt Energie und Wasser.--.17120.--.222.--.IM;01 12:00-13:00;4;095
;16;Brandschutz Projektmanagement.--.18100.--.222.--.IM;Wirtschaftslehre 4.--.622226010.--.222.--.IM;03 14:00-17:00;12;145
;17;Brandschutz Projektmanagement.--.18100.--.222.--.IM;Wirtschaftslehre 5.--.622227010.--.222.--.IM;Kein Datum gef;13;
Brandschutz.--.18010.--.192.--.BB;;;;30 14:00-15:00;;;
;1;Brandschutz.--.18010.--.192.--.BB;Ingenieurholzbau I.--.601924030.--.192.--.BB;01 14:00-16:00;1;047
Business Intelligence.--.1502322130.--.232.--.MM;;;;03 11:30-13:00;;;
;1;Business Intelligence.--.1502322130.--.232.--.MM;Robotik.--.1502321120.--.232.--.MM;05 14:00-16:00;2;049
Business Intelligence.--.1502322137.--.2322.--.MM;;;;03 11:30-13:00;;;
;1;Business Intelligence.--.1502322137.--.2322.--.MM;Modelle und Methoden der Optimierung.--.1502321057.--.2322.--.MM;31 14:00-16:00;1;067
;2;Business Intelligence.--.1502322137.--.2322.--.MM;Robotik.--.1502321127.--.2322.--.MM;05 14:00-16:00;1;049
Business Intelligence.--.1502322138.--.2322.--.MM;;;;03 11:30-13:00;;;
;1;Business Intelligence.--.1502322138.--.2322.--.MM;Finanzdienstleistungen und Kapitalmärkte.--.611924035.--.192.--.BW;31 8:30-10:30;1;073
Business Intelligence.--.2120.--.241.--.ST;;;;03 11:30-13:00;;;
;1;Business Intelligence.--.2120.--.241.--.ST;Modern Distributed Systems.--.1522412010.--.241.--.ST;31 14:00-16:00;3;067
;2;Business Intelligence.--.2120.--.241.--.ST;Software Engineering II.--.1522412040.--.241.--.ST;04 11:00-13:00;3;022
;3;Business Intelligence.--.2120.--.241.--.ST;Software Verification and Validation.--.1522412030.--.241.--.ST;29 14:00-15:30;3;116
Business Intelligence.--.2120.--.91.--.ST;;;;03 11:30-13:00;;;
;1;Business Intelligence.--.2120.--.91.--.ST;Databases II.--.1020.--.91.--.ST;27 11:00-13:00;1;166
Business Process Technology.--.2110.--.241.--.ST;;;;06 8:30-10:00;;;
;1;Business Process Technology.--.2110.--.241.--.ST;Computer Vision.--.1130.--.241.--.ST;07 8:30-10:30;1;022
;2;Business Process Technology.--.2110.--.241.--.ST;Database Systems II.--.1522411020.--.241.--.ST;27 11:00-13:00;1;235
;3;Business Process Technology.--.2110.--.241.--.ST;Modern Distributed Systems.--.1522412010.--.241.--.ST;31 14:00-16:00;25;136
;4;Business Process Technology.--.2110.--.241.--.ST;Software Engineering II.--.1522412040.--.241.--.ST;04 11:00-13:00;24;043
;5;Business Process Technology.--.2110.--.241.--.ST;Software Verification and Validation.--.1522412030.--.241.--.ST;29 14:00-15:30;24;185
Business Process Technology.--.2110.--.91.--.ST;;;;06 8:30-10:00;;;
Community Development Service Learning.--.19300.--.222.--.IM;;;;Kein Datum gef;;;
;1;Community Development Service Learning.--.19300.--.222.--.IM;Abfallwirtschaft.--.622227050.--.222.--.IM;29 17:00-18:00;1;
;2;Community Development Service Learning.--.19300.--.222.--.IM;International Relations.--.19290.--.222.--.IM;Kein Datum gef;1;
;3;Community Development Service Learning.--.19300.--.222.--.IM;Projektmanagement und -entwicklung 2.--.622223070.--.222.--.IM;01 9:00-11:00;1;
;4;Community Development Service Learning.--.19300.--.222.--.IM;Recht 2.--.622227020.--.222.--.IM;05 11:30-13:00;1;
;5;Community Development Service Learning.--.19300.--.222.--.IM;Wirtschaftslehre 5.--.622227010.--.222.--.IM;Kein Datum gef;1;
Computer Vision.--.1130.--.241.--.ST;;;;07 8:30-10:30;;;
;1;Computer Vision.--.1130.--.241.--.ST;Business Process Technology.--.2110.--.241.--.ST;06 8:30-10:00;1;022
;2;Computer Vision.--.1130.--.241.--.ST;Database Systems II.--.1522411020.--.241.--.ST;27 11:00-13:00;1;259
;3;Computer Vision.--.1130.--.241.--.ST;Modern Distributed Systems.--.1522412010.--.241.--.ST;31 14:00-16:00;1;160
;4;Computer Vision.--.1130.--.241.--.ST;Software Engineering II.--.1522412040.--.241.--.ST;04 11:00-13:00;1;067
;5;Computer Vision.--.1130.--.241.--.ST;Software Verification and Validation.--.1522412030.--.241.--.ST;29 14:00-15:30;1;209
Computer Vision.--.1130.--.91.--.ST;;;;07 8:30-10:30;;;
Conception bioclimatique.--.19320.--.222.--.IM;;;;Kein Datum gef;;;
;1;Conception bioclimatique.--.19320.--.222.--.IM;Urbanisme reglementaire & Cofort urbain.--.19310.--.222.--.IM;Kein Datum gef;1;
Content Management.--.7020.--.182.--.IL;;;;04 11:30-12:30;;;
;1;Content Management.--.7020.--.182.--.IL;Datenstrukturen und Algorithmen.--.3020.--.182.--.IL;05 8:30-10:30;2;020
;2;Content Management.--.7020.--.182.--.IL;KI basierte Datenanalyse.--.17600.--.182.--.IL;07 9:00-10:30;1;068
;3;Content Management.--.7020.--.182.--.IL;Operations Research.--.3050.--.182.--.IL;31 11:30-13:00;1;094
Controlling.--.611929017.--.192.--.BW;;;;06 9:00-10:30;;;
;1;Controlling.--.611929017.--.192.--.BW;Beschaffung und Logistik.--.611924030.--.192.--.BW;25 11:00-13:00;2;284
;2;Controlling.--.611929017.--.192.--.BW;Betriebl.Rechnungswesen.--.611929003.--.192.--.BW;28 8:30-10:00;4;215
;3;Controlling.--.611929017.--.192.--.BW;Bilanzpolitik und Bilanzanalyse.--.611924033.--.192.--.BW;29 11:00-13:00;4;188
;4;Controlling.--.611929017.--.192.--.BW;Corporate Finance.--.611929019.--.192.--.BW;05 14:00-15:30;38;017
;5;Controlling.--.611929017.--.192.--.BW;Dienstleistungsmanagement.--.611924031.--.192.--.BW;Kein Datum gef;4;
;6;Controlling.--.611929017.--.192.--.BW;Einführung Marketing und Vertriebsmanagement.--.611929018.--.192.--.BW;04 8:30-10:00;46;047
;7;Controlling.--.611929017.--.192.--.BW;Finanzdienstleistungen und Kapitalmärkte.--.611924035.--.192.--.BW;31 8:30-10:30;1;142
;8;Controlling.--.611929017.--.192.--.BW;Kosten- und Leistungsrechnung.--.611929009.--.192.--.BW;31 11:30-13:00;6;140
;9;Controlling.--.611929017.--.192.--.BW;Nationale und Internationale Rechnungslegung.--.611929016.--.192.--.BW;30 14:00-16:00;40;161
;10;Controlling.--.611929017.--.192.--.BW;Operations Research.--.611924020.--.192.--.BW;03 11:30-13:00;12;068
;11;Controlling.--.611929017.--.192.--.BW;Personalmanagement.--.611923041.--.192.--.BW;28 14:00-15:00;40;210
;12;Controlling.--.611929017.--.192.--.BW;Recht und Steuern.--.611929014.--.192.--.BW;27 14:00-16:00;42;233
;13;Controlling.--.611929017.--.192.--.BW;Steuerberatung und -gestaltung.--.611924038.--.192.--.BW;07 9:00-11:00;2;022
;14;Controlling.--.611929017.--.192.--.BW;Supply Chain Management.--.611929010.--.192.--.BW;05 8:30-10:00;1;023
;15;Controlling.--.611929017.--.192.--.BW;Wirtschaftsrecht.--.611929006.--.192.--.BW;30 8:30-10:30;2;166
Controlling.--.9002.--.172.--.WP;;;;07 8:30-10:00;;;
;1;Controlling.--.9002.--.172.--.WP;Diagnostik.--.9001.--.172.--.WP;27 14:00-14:30;6;258
;2;Controlling.--.9002.--.172.--.WP;Schwerpunkt Marktforschung Teil 1 / Marketing Marktforschung Grundlagen.--.9011.--.172.--.WP;Kein Datum gef;3;
;3;Controlling.--.9002.--.172.--.WP;Statistik 2.--.8011.--.172.--.WP;31 11:00-12:30;2;164
Corporate Finance & Governance.--.1030.--.162.--.WPM;;;;28 17:00-18:30;;;
;1;Corporate Finance & Governance.--.1030.--.162.--.WPM;Forschungsmethoden I.--.1020.--.162.--.WPM;Kein Datum gef;21;
;2;Corporate Finance & Governance.--.1030.--.162.--.WPM;Marketing & Konsumentenpsychologie.--.1040.--.162.--.WPM;05 11:30-13:00;21;185
;3;Corporate Finance & Governance.--.1030.--.162.--.WPM;Psychologische Aspekte Organisationalen Verhaltens I.--.1050.--.162.--.WPM;Kein Datum gef;21;
Corporate Finance.--.611929019.--.192.--.BW;;;;05 14:00-15:30;;;
;1;Corporate Finance.--.611929019.--.192.--.BW;Beschaffung und Logistik.--.611924030.--.192.--.BW;25 11:00-13:00;2;265
;2;Corporate Finance.--.611929019.--.192.--.BW;Betriebl.Rechnungswesen.--.611929003.--.192.--.BW;28 8:30-10:00;3;196
;3;Corporate Finance.--.611929019.--.192.--.BW;Controlling.--.611929017.--.192.--.BW;06 9:00-10:30;38;017
;4;Corporate Finance.--.611929019.--.192.--.BW;Dienstleistungsmanagement.--.611924031.--.192.--.BW;Kein Datum gef;1;
;5;Corporate Finance.--.611929019.--.192.--.BW;Einführung Marketing und Vertriebsmanagement.--.611929018.--.192.--.BW;04 8:30-10:00;38;028
;6;Corporate Finance.--.611929019.--.192.--.BW;Kosten- und Leistungsrechnung.--.611929009.--.192.--.BW;31 11:30-13:00;5;121
;7;Corporate Finance.--.611929019.--.192.--.BW;Marketing und Vertrieb.--.611924036.--.192.--.BW;29 14:00-16:00;1;166
;8;Corporate Finance.--.611929019.--.192.--.BW;Nationale und Internationale Rechnungslegung.--.611929016.--.192.--.BW;30 14:00-16:00;30;142
;9;Corporate Finance.--.611929019.--.192.--.BW;Operations Research.--.611924020.--.192.--.BW;03 11:30-13:00;2;049
;10;Corporate Finance.--.611929019.--.192.--.BW;Personalmanagement.--.611923041.--.192.--.BW;28 14:00-15:00;41;191
;11;Corporate Finance.--.611929019.--.192.--.BW;Recht und Steuern.--.611929014.--.192.--.BW;27 14:00-16:00;40;214
;12;Corporate Finance.--.611929019.--.192.--.BW;Supply Chain Management.--.611929010.--.192.--.BW;05 8:30-10:00;1;004
;13;Corporate Finance.--.611929019.--.192.--.BW;Wirtschaftsrecht.--.611929006.--.192.--.BW;30 8:30-10:30;2;147
Corporate Finance.--.9020.--.132.--.BW;;;;Kein Datum gef;;;
;1;Corporate Finance.--.9020.--.132.--.BW;Beschaffung und Logistik.--.19274030.--.1927.--.BW;Kein Datum gef;5;
Database Systems II.--.1522411020.--.241.--.ST;;;;27 11:00-13:00;;;
;1;Database Systems II.--.1522411020.--.241.--.ST;Business Process Technology.--.2110.--.241.--.ST;06 8:30-10:00;1;235
;2;Database Systems II.--.1522411020.--.241.--.ST;Computer Vision.--.1130.--.241.--.ST;07 8:30-10:30;1;259
;3;Database Systems II.--.1522411020.--.241.--.ST;Modern Distributed Systems.--.1522412010.--.241.--.ST;31 14:00-16:00;1;097
;4;Database Systems II.--.1522411020.--.241.--.ST;Software Engineering II.--.1522412040.--.241.--.ST;04 11:00-13:00;1;190
;5;Database Systems II.--.1522411020.--.241.--.ST;Software Verification and Validation.--.1522412030.--.241.--.ST;29 14:00-15:30;1;049
Databases II.--.1020.--.91.--.ST;;;;27 11:00-13:00;;;
;1;Databases II.--.1020.--.91.--.ST;Business Intelligence.--.2120.--.91.--.ST;03 11:30-13:00;1;166
Datenbanksysteme.--.1202124020.--.212.--.IF;;;;04 11:00-12:00;;;
;1;Datenbanksysteme.--.1202124020.--.212.--.IF;Operations Research.--.1202124010.--.212.--.IF;31 11:30-13:00;1;094
;2;Datenbanksysteme.--.1202124020.--.212.--.IF;Software-Technik.--.1202123020.--.212.--.IF;Kein Datum gef;1;
;3;Datenbanksysteme.--.1202124020.--.212.--.IF;Statistik.--.1202123010.--.212.--.IF;01 11:30-13:00;2;070
;4;Datenbanksysteme.--.1202124020.--.212.--.IF;Theoretische Informatik.--.1202123050.--.212.--.IF;03 14:00-16:00;2;019
;5;Datenbanksysteme.--.1202124020.--.212.--.IF;Verteilte Systeme.--.1202123030.--.212.--.IF;29 14:00-16:00;2;139
;6;Datenbanksysteme.--.1202124020.--.212.--.IF;Wahlpflichtfach Computernumerik.--.17150.--.212.--.IF;Kein Datum gef;1;
Datenbanksysteme.--.1212224010.--.222.--.BDI;;;;01 9:00-10:00;;;
;1;Datenbanksysteme.--.1212224010.--.222.--.BDI;Operations Research.--.1212223050.--.222.--.BDI;31 11:30-13:00;1;020
;2;Datenbanksysteme.--.1212224010.--.222.--.BDI;Verteilte Systeme.--.1212224030.--.222.--.BDI;29 14:00-16:00;1;065
Datenbanksysteme.--.1222127010.--.212.--.MB;;;;04 11:00-12:00;;;
;1;Datenbanksysteme.--.1222127010.--.212.--.MB;Bankbetriebslehre.--.1222123130.--.212.--.MB;07 14:00-15:30;1;074
;2;Datenbanksysteme.--.1222127010.--.212.--.MB;Funktionentheorie.--.1222126010.--.212.--.MB;30 8:30-10:30;2;120
;3;Datenbanksysteme.--.1222127010.--.212.--.MB;Stochastik.--.1222124020.--.212.--.MB;03 14:00-16:00;1;019
Datenbanksysteme.--.1222128010.--.2123.--.MB;;;;04 11:00-12:00;;;
;1;Datenbanksysteme.--.1222128010.--.2123.--.MB;Numerik.--.1222127010.--.2123.--.MB;01 11:00-13:00;1;070
;2;Datenbanksysteme.--.1222128010.--.2123.--.MB;Prüfungsvorleistung Datenbanksysteme.--.1222128015.--.2123.--.MB;Kein Datum gef;3;
;3;Datenbanksysteme.--.1222128010.--.2123.--.MB;Software Engineering.--.1222127040.--.2123.--.MB;28 8:30-10:30;3;168
;4;Datenbanksysteme.--.1222128010.--.2123.--.MB;Versicherungsbetriebslehre.--.1222127020.--.2123.--.MB;07 8:30-10:00;2;068
Datenbanksysteme.--.1222226010.--.222.--.BAM;;;;04 11:00-12:00;;;
;1;Datenbanksysteme.--.1222226010.--.222.--.BAM;Algebra.--.17100.--.222.--.BAM;25 9:30-11:30;1;239
;2;Datenbanksysteme.--.1222226010.--.222.--.BAM;Analysis 3.--.1222224010.--.222.--.BAM;31 8:30-10:30;1;096
;3;Datenbanksysteme.--.1222226010.--.222.--.BAM;Datenstrukturen und Algorithmen.--.1222224040.--.222.--.BAM;05 8:30-10:30;1;020
Datenbanksysteme.--.1242123040.--.212.--.WI;;;;03 17:00-18:00;;;
;1;Datenbanksysteme.--.1242123040.--.212.--.WI;Betriebliches Rechnungswesen.--.1242122030.--.212.--.WI;05 14:00-15:30;3;044
;2;Datenbanksysteme.--.1242123040.--.212.--.WI;Green IT.--.18100.--.212.--.WI;30 8:30-10:00;1;103
