Fach 1;Lfd. Nr.;Fach 1;Fach 2;Datum / Uhrzeit;Kollisionen;Abstand
;2;Akustik im Gebäude.--.18100.--.222.--.GP;Gebäudemonitoring.--.21120.--.222.--.GP;Kein Datum gef;1;
;3;Akustik im Gebäude.--.18100.--.222.--.GP;Theoretische Gebäudephysik.--.1010.--.222.--.GP;03 14:00-16:30;7;148
Algebra.--..--..--.1Plus;;;;04 9:45-11:15;;;
Algebra.--.17100.--.132.--.MB;;;;25 9:30-11:30;;;
Algebra.--.17100.--.222.--.BAM;;;;25 9:30-11:30;;;
;1;Algebra.--.17100.--.222.--.BAM;Bankbetriebslehre.--.1222223060.--.222.--.BAM;07 14:00-15:30;1;314
;2;Algebra.--.17100.--.222.--.BAM;Datenbanksysteme.--.1222226010.--.222.--.BAM;04 11:00-12:00;1;239
;3;Algebra.--.17100.--.222.--.BAM;Datenstrukturen und Algorithmen.--.1222224040.--.222.--.BAM;05 8:30-10:30;1;261
;4;Algebra.--.17100.--.222.--.BAM;Differentialgleichungen.--.1222226030.--.222.--.BAM;Kein Datum gef;1;
;5;Algebra.--.17100.--.222.--.BAM;Funktionentheorie.--.1222225010.--.222.--.BAM;30 8:30-10:30;1;117
;6;Algebra.--.17100.--.222.--.BAM;Numerik.--.1222223010.--.222.--.BAM;01 11:00-13:00;1;167
;7;Algebra.--.17100.--.222.--.BAM;Software Engineering.--.1222223020.--.222.--.BAM;28 8:30-10:30;1;069
;8;Algebra.--.17100.--.222.--.BAM;Stochastik.--.1222224020.--.222.--.BAM;03 14:00-16:00;1;218
;9;Algebra.--.17100.--.222.--.BAM;Versicherungsbetriebslehre.--.1222223050.--.222.--.BAM;07 8:30-10:00;1;309
Algebra.--.17100.--.2223.--.BAM;;;;25 9:30-11:30;;;
;1;Algebra.--.17100.--.2223.--.BAM;Numerik.--.1222224050.--.2223.--.BAM;01 11:00-13:00;1;167
Algebra.--.17100.--.232.--.BAK;;;;25 9:30-11:30;;;
;1;Algebra.--.17100.--.232.--.BAK;Software Engineering.--.1252323030.--.232.--.BAK;28 8:30-10:30;3;069
;2;Algebra.--.17100.--.232.--.BAK;Stochastik.--.1252323010.--.232.--.BAK;03 14:00-16:00;4;218
Analysis 1.--.1252321010.--.232.--.BAK;;;;30 11:00-13:00;;;
;1;Analysis 1.--.1252321010.--.232.--.BAK;Analysis 2.--.1252322010.--.232.--.BAK;06 14:00-16:00;1;169
;2;Analysis 1.--.1252321010.--.232.--.BAK;Einführung in die Statistik.--.1252322040.--.232.--.BAK;29 9:00-10:00;5;025
;3;Analysis 1.--.1252321010.--.232.--.BAK;Grundlagen Informatik 1.--.1252321030.--.232.--.BAK;07 14:00-16:00;16;193
;4;Analysis 1.--.1252321010.--.232.--.BAK;Lineare Algebra 1.--.1252321020.--.232.--.BAK;03 8:30-10:30;18;091
;5;Analysis 1.--.1252321010.--.232.--.BAK;Lineare Algebra 2.--.1252322020.--.232.--.BAK;31 8:30-10:30;4;019
Analysis 1.--.1252321010.--.2323.--.BAK;;;;30 11:00-13:00;;;
;1;Analysis 1.--.1252321010.--.2323.--.BAK;Lineare Algebra 1.--.1252321020.--.2323.--.BAK;03 8:30-10:30;2;091
Analysis 2.--.1252322010.--.232.--.BAK;;;;06 14:00-16:00;;;
;1;Analysis 2.--.1252322010.--.232.--.BAK;Analysis 1.--.1252321010.--.232.--.BAK;30 11:00-13:00;1;169
;2;Analysis 2.--.1252322010.--.232.--.BAK;Einführung in die Statistik.--.1252322040.--.232.--.BAK;29 9:00-10:00;6;196
;3;Analysis 2.--.1252322010.--.232.--.BAK;Grundlagen Informatik 1.--.1252321030.--.232.--.BAK;07 14:00-16:00;2;022
;4;Analysis 2.--.1252322010.--.232.--.BAK;Lineare Algebra 1.--.1252321020.--.232.--.BAK;03 8:30-10:30;1;075
;5;Analysis 2.--.1252322010.--.232.--.BAK;Lineare Algebra 2.--.1252322020.--.232.--.BAK;31 8:30-10:30;8;147
Analysis 2.--.1252322010.--.2323.--.BAK;;;;06 14:00-16:00;;;
;1;Analysis 2.--.1252322010.--.2323.--.BAK;Einführung in die Statistik.--.1252322030.--.2323.--.BAK;29 9:00-10:00;1;196
;2;Analysis 2.--.1252322010.--.2323.--.BAK;Grundlagen Informatik 1.--.1252322020.--.2323.--.BAK;07 14:00-16:00;1;022
;3;Analysis 2.--.1252322010.--.2323.--.BAK;Lineare Algebra 2.--.1252323010.--.2323.--.BAK;31 8:30-10:30;1;147
Analysis 3.--.1222124010.--.212.--.MB;;;;31 8:30-10:30;;;
;1;Analysis 3.--.1222124010.--.212.--.MB;Differentialgleichungen.--.1222126030.--.212.--.MB;27 11:00-13:00;1;091
Analysis 3.--.1222224010.--.222.--.BAM;;;;31 8:30-10:30;;;
;1;Analysis 3.--.1222224010.--.222.--.BAM;Datenbanksysteme.--.1222226010.--.222.--.BAM;04 11:00-12:00;1;096
;2;Analysis 3.--.1222224010.--.222.--.BAM;Numerik.--.1222223010.--.222.--.BAM;01 11:00-13:00;1;024
;3;Analysis 3.--.1222224010.--.222.--.BAM;Software Engineering.--.1222223020.--.222.--.BAM;28 8:30-10:30;1;070
Analysis.--..--..--.1Plus;;;;03 9:45-11:15;;;
Angewandte Mathematik 2.--.22212010.--.221.--.KE;;;;27 8:30-10:00;;;
;1;Angewandte Mathematik 2.--.22212010.--.221.--.KE;Gebäudetechnik 1.--.22211030.--.221.--.KE;29 11:00-12:00;1;049
;2;Angewandte Mathematik 2.--.22212010.--.221.--.KE;Gebäudetechnik 2.--.22212030.--.221.--.KE;Kein Datum gef;10;
;3;Angewandte Mathematik 2.--.22212010.--.221.--.KE;Physikalische Grundlagen 1.--.22211020.--.221.--.KE;05 14:00-16:00;1;220
;4;Angewandte Mathematik 2.--.22212010.--.221.--.KE;Physikalische Grundlagen 2.--.22212020.--.221.--.KE;04 14:00-17:00;11;196
;5;Angewandte Mathematik 2.--.22212010.--.221.--.KE;Simulationswerkzeuge 1.--.22212040.--.221.--.KE;31 9:00-13:00;5;095
Angewandte Mathematik 3.--.3030.--.182.--.PB;;;;30 9:00-10:00;;;
;1;Angewandte Mathematik 3.--.3030.--.182.--.PB;Energietechnik 1.--.3050.--.182.--.PB;04 14:00-16:00;11;124
;2;Angewandte Mathematik 3.--.3030.--.182.--.PB;Energietechnik 2.--.4050.--.182.--.PB;07 9:00-11:00;1;191
;3;Angewandte Mathematik 3.--.3030.--.182.--.PB;Mathematik 2.--.2030.--.182.--.PB;27 8:30-10:30;1;070
;4;Angewandte Mathematik 3.--.3030.--.182.--.PB;Mathematik 4.--.4030.--.182.--.PB;29 9:00-10:00;1;023
;5;Angewandte Mathematik 3.--.3030.--.182.--.PB;Schallschutz 1.--.3010.--.182.--.PB;01 9:00-11:00;11;047
;6;Angewandte Mathematik 3.--.3030.--.182.--.PB;Wärmeschutz 1.--.3020.--.182.--.PB;05 9:00-10:30;11;143
;7;Angewandte Mathematik 3.--.3030.--.182.--.PB;Wärmeschutz 2.--.4020.--.182.--.PB;Kein Datum gef;1;
Arbeitsschutz.--.601925011.--.192.--.BB;;;;06 8:30-9:30;;;
;1;Arbeitsschutz.--.601925011.--.192.--.BB;Baubetriebsplanung.--.601924070.--.192.--.BB;29 8:30-9:30;20;191
;2;Arbeitsschutz.--.601925011.--.192.--.BB;Bauproduktionstechnik.--.601923060.--.192.--.BB;30 14:00-15:30;4;161
;3;Arbeitsschutz.--.601925011.--.192.--.BB;Baustatik I.--.601923010.--.192.--.BB;25 11:00-13:00;14;283
;4;Arbeitsschutz.--.601925011.--.192.--.BB;Geotechnik II.--.601923020.--.192.--.BB;07 14:00-16:00;4;028
;5;Arbeitsschutz.--.601925011.--.192.--.BB;Geotechnik III.--.601924010.--.192.--.BB;31 8:30-10:30;27;142
;6;Arbeitsschutz.--.601925011.--.192.--.BB;Ingenieurholzbau I.--.601924030.--.192.--.BB;01 14:00-16:00;25;112
;7;Arbeitsschutz.--.601925011.--.192.--.BB;Siedlungswasserwirtschaft I.--.601924050.--.192.--.BB;30 8:30-10:00;24;166
;8;Arbeitsschutz.--.601925011.--.192.--.BB;Stahlbau I.--.601923030.--.192.--.BB;05 14:00-16:00;3;016
;9;Arbeitsschutz.--.601925011.--.192.--.BB;Stahlbetonbau I.--.601924020.--.192.--.BB;28 11:00-13:00;20;211
;10;Arbeitsschutz.--.601925011.--.192.--.BB;Verkehrswesen II.--.601924040.--.192.--.BB;04 8:30-9:30;24;047
;11;Arbeitsschutz.--.601925011.--.192.--.BB;Wasserwesen.--.601923050.--.192.--.BB;27 14:00-16:30;1;232
;12;Arbeitsschutz.--.601925011.--.192.--.BB;Wasserwirtschaft und Wasserbau I.--.601924060.--.192.--.BB;03 11:30-13:00;28;067
Arbeitsschutz.--.622224010.--.222.--.IM;;;;06 8:30-9:30;;;
;1;Arbeitsschutz.--.622224010.--.222.--.IM;Baustoffe u. Geotechnik 2.--.622222020.--.222.--.IM;30 8:30-10:00;5;166
;2;Arbeitsschutz.--.622224010.--.222.--.IM;Energie 2 - Netzgebundene Energien.--.622223020.--.222.--.IM;03 11:00-13:00;19;067
;3;Arbeitsschutz.--.622224010.--.222.--.IM;Informations- und Kommunikationstechnik.--.622223030.--.222.--.IM;Kein Datum gef;21;
;4;Arbeitsschutz.--.622224010.--.222.--.IM;Innovative Verfahren im Straßenbau.--.19140.--.222.--.IM;25 14:00-15:00;1;281
;5;Arbeitsschutz.--.622224010.--.222.--.IM;Laborpraktikum im Straßenbauwesen.--.19170.--.222.--.IM;01 14:00-15:00;1;113
;6;Arbeitsschutz.--.622224010.--.222.--.IM;Mathematik 2.--.622222010.--.222.--.IM;27 8:30-10:30;10;238
;7;Arbeitsschutz.--.622224010.--.222.--.IM;Nachhaltigkeit, Umwelt, Verantwortung.--.622223010.--.222.--.IM;05 8:30-9:30;20;023
